,topic,voice of customer,id,satisfaction,satisfaction score
1097,17,I received my bag with a strong chemical odor or unpleasant smell.,59109,neutral or dissatisfied,3
1098,64,"The delayed arrival meant that I had to endure long hours of discomfort and restlessness on the airplane, with limited amenities and no clear timeline for when we would reach our destination.",59122,neutral or dissatisfied,3
1099,48,The departure delay inconvenienced me. I expect better treatment.,59132,neutral or dissatisfied,4
1100,1,The airline's lack of compensation for the inconvenience caused by the delays disappointed me.,59165,neutral or dissatisfied,4
1101,18,The air crew did not provide clear instructions or updates during the flight.,59251,neutral or dissatisfied,3
1102,14,"The flight attendants didn't enforce the use of headphones for audio entertainment, causing disturbance to others.",59310,neutral or dissatisfied,3
1103,28,"I encountered difficulties understanding the airline's complex musical instrument baggage policy, resulting in confusion and concerns about transporting my instrument.",59387,neutral or dissatisfied,3
1104,11,The flight delay made me miss a once-in-a-lifetime event. I'm devastated.,59397,neutral or dissatisfied,4
1105,15,The seat upholstery was stained and unsanitary.,59586,neutral or dissatisfied,4
1106,5,I am beyond furious with this airline's lack of professionalism and constant delays!,59626,neutral or dissatisfied,3
1107,60,The staff displayed a lack of accountability and responsibility.,59632,neutral or dissatisfied,4
1108,53,I observed unhygienic practices by the cabin crew.,59733,neutral or dissatisfied,4
1109,46,Limited availability of power outlets in the cabin.,59809,neutral or dissatisfied,4
1110,12,The online check-in process was cumbersome and caused unnecessary delays.,59872,neutral or dissatisfied,4
1111,4,"The legroom was insufficient, making it uncomfortable for taller passengers like myself.",59891,neutral or dissatisfied,3
1112,-1,The flight delay made me miss an important meeting. This is unacceptable.,60103,neutral or dissatisfied,3
1113,14,The flight attendants did not address passenger needs or inquiries promptly.,60139,neutral or dissatisfied,3
1114,16,The airline's baggage claim process was disorganized.,60258,neutral or dissatisfied,4
1115,33,The frequent flyer program had limited benefits and did not offer substantial rewards.,60276,neutral or dissatisfied,4
1116,8,"I had meticulously planned my travel itinerary, but the arrival delay meant that I had to rearrange my entire schedule, wasting valuable time and disrupting my plans.",60290,neutral or dissatisfied,4
1117,24,"The cabin temperature was too cold, and despite my request, the flight attendants did not adjust it.",60309,neutral or dissatisfied,4
1118,35,The flight attendants lacked empathy and failed to address my concerns and needs.,60317,neutral or dissatisfied,3
1119,6,"Onboard amenities were lacking, making the journey uncomfortable and boring.",60340,neutral or dissatisfied,4
1120,10,"The turbulence was prolonged, and it was uncomfortable to remain seated for an extended period.",60342,neutral or dissatisfied,3
1121,2,The prolonged delay in flight arrival had a profound impact on my mood and overall travel experience.,60410,neutral or dissatisfied,4
1122,11,"I was emotionally devastated by the significant delay in our flight departure, which disrupted my plans.",60469,neutral or dissatisfied,3
1123,14,"The flight attendants did not distribute immigration forms in a timely manner, causing delays at the destination.",60524,neutral or dissatisfied,3
1124,16,I had to wait a significant amount of time for my bag to be unloaded from the plane.,60566,neutral or dissatisfied,0
1125,0,"The flight attendants didn't offer enough water during the flight, leaving passengers dehydrated.",60578,neutral or dissatisfied,3
1126,0,The in-flight meals were of poor quality and did not meet basic standards.,60620,neutral or dissatisfied,4
1127,43,The flight's significant delay in arrival caused major inconvenience for me.,60702,neutral or dissatisfied,4
1128,15,I found hair or other foreign objects on the seats.,60708,neutral or dissatisfied,3
1129,18,The airline did not provide timely updates regarding the weather delay.,60717,neutral or dissatisfied,3
1130,-1,The airline did not provide adequate maintenance for their aircraft.,60763,neutral or dissatisfied,4
1131,10,"The flight experienced strong crosswinds, and it made the landing challenging and unsettling.",60818,neutral or dissatisfied,3
1132,5,I am beyond furious with this airline's utter disregard for its passengers!,61017,neutral or dissatisfied,3
1133,10,"The turbulence was continuous, making it impossible to rest or relax during the entire flight.",61078,neutral or dissatisfied,1
1134,45,The lack of coordination during boarding and deplaning caused congestion and delays.,61284,neutral or dissatisfied,4
1135,5,This airline's delays are a blatant disregard for its passengers! I am beyond furious!,61351,neutral or dissatisfied,4
1136,10,The strong gusts of wind during the flight were unsettling and made me feel uneasy.,61352,neutral or dissatisfied,3
1137,63,"The airline's baggage claim process was confusing, with insufficient staff available to provide assistance or answer questions.",61390,neutral or dissatisfied,4
1138,1,The airline's lack of communication about the delay left me feeling ignored and frustrated.,61411,neutral or dissatisfied,4
1139,0,"The airline did not accommodate dietary restrictions, leaving many passengers without suitable meal options.",61480,neutral or dissatisfied,3
1140,-1,The airline did not provide sufficient information about travel restrictions.,61486,neutral or dissatisfied,3
1141,-1,"The flight departure was postponed, resulting in wasted time.",61490,neutral or dissatisfied,4
1142,18,"The air crew did not provide sufficient information during the flight, causing confusion.",61578,neutral or dissatisfied,3
1143,4,The airplane seats were uncomfortable.,61670,neutral or dissatisfied,3
1144,-1,"The flight attendants struggled with language barriers, hindering effective communication with passengers.",61945,neutral or dissatisfied,4
1145,3,"I witnessed other passengers visibly shaking and holding onto their seats tightly during the turbulence, and the airline did not provide reassurance.",61947,neutral or dissatisfied,4
1146,4,The flight had a malfunctioning recline feature on the seats.,62040,neutral or dissatisfied,4
1147,-1,"Arrival was significantly later than scheduled, disappointing me.",62041,neutral or dissatisfied,4
1148,9,The flight delay was a major inconvenience.,62044,neutral or dissatisfied,4
1149,-1,"The cleanliness of the aircraft fell short, and the lavatories were dirty.",62060,neutral or dissatisfied,4
1150,42,"The airline lost my luggage, and the process to track and retrieve it was a nightmare.",62069,neutral or dissatisfied,3
1151,-1,Inadequate translations for international passengers created communication barriers.,62139,neutral or dissatisfied,3
1152,34,"The airline provided insufficient assistance for families traveling with children, adding stress to the journey.",62151,neutral or dissatisfied,4
1153,37,I experienced difficulties with the airline's refund policy.,62194,neutral or dissatisfied,3
1154,3,"The turbulence was unexpected and severe, and the lack of coordination between the flight attendants exacerbated the passengers' fear and discomfort.",62214,neutral or dissatisfied,3
1155,0,"The selection of in-flight beverages was limited, leaving me with few options.",62295,neutral or dissatisfied,4
1156,10,"The turbulence during the flight was intense, and it made the journey uncomfortable and unsettling.",62298,neutral or dissatisfied,2
1157,-1,The flight attendants seemed untrained and inexperienced.,62311,neutral or dissatisfied,4
1158,22,I expected the airline to offer complimentary access to calming podcasts or audiobooks to help passengers relax during the turbulent flight.,62321,neutral or dissatisfied,4
1159,-1,The cabin lacked proper disposal for used snack wrappers or packaging.,62394,neutral or dissatisfied,3
1160,23,The delay in departure inconvenienced passengers without proper explanation.,62425,neutral or dissatisfied,3
1161,16,"The airline's baggage handling system appeared disorganized, leading to delays and misplaced luggage.",62579,neutral or dissatisfied,3
1162,47,"The airline didn't offer any complimentary Wi-Fi during the flight, limiting connectivity options for passengers.",62721,neutral or dissatisfied,3
1163,7,The airline's failure to honor my confirmed seat reservation for a special occasion left me feeling betrayed and disappointed.,62727,neutral or dissatisfied,3
1164,13,"I paid a premium price for the flight, but the overall experience did not meet my expectations.",62737,neutral or dissatisfied,4
1165,12,I encountered challenges in navigating the airline's website for bookings and managing my reservations.,62767,neutral or dissatisfied,3
1166,0,The airline did not provide any vegetarian meal options.,62768,neutral or dissatisfied,3
1167,40,I felt frustrated and inconvenienced by the excessive delay in our flight departure.,62770,neutral or dissatisfied,3
1168,0,"The selection of in-flight beverages was limited, leaving me with few choices and disappointed.",62801,neutral or dissatisfied,4
1169,18,The flight departure was delayed without any explanation provided.,62825,neutral or dissatisfied,3
1170,-1,"The postponement of the flight departure disrupted my plans, and I felt helpless.",63020,neutral or dissatisfied,4
1171,24,The cabin temperature was too hot.,63116,neutral or dissatisfied,3
1172,22,I expected the airline to have advanced technology and equipment to navigate through bad weather.,63211,neutral or dissatisfied,4
1173,30,The customer service agent was unresponsive and did not follow up on my issue.,63292,neutral or dissatisfied,4
1174,0,The airline did not offer any vegetarian meal options.,63299,neutral or dissatisfied,4
1175,55,I received poor service from the flight attendant during the flight.,63417,neutral or dissatisfied,4
1176,10,"The flight experienced poor turbulence management, making the journey uncomfortable and unsettling.",63472,neutral or dissatisfied,4
1177,2,I felt stranded and helpless due to the flight delay.,63501,neutral or dissatisfied,4
1178,18,The flight was delayed without any clear explanation or updates from the airline.,63547,neutral or dissatisfied,4
1179,-1,"The airline's website lacked clear information about onboard amenities and services, leaving me uncertain about what to expect.",63561,neutral or dissatisfied,3
1180,41,The flight was excessively noisy due to engine or mechanical issues.,63584,neutral or dissatisfied,3
1181,12,"I experienced technical issues with the online booking system, wasting my time and causing frustration.",63586,neutral or dissatisfied,3
1182,9,The flight departure was delayed due to operational issues.,63612,neutral or dissatisfied,4
1183,12,Challenges in navigating the airline's website for bookings.,63642,neutral or dissatisfied,4
1184,63,The baggage claim area was poorly lit and difficult to navigate.,63699,neutral or dissatisfied,3
1185,27,"The airline's onboard announcements were muffled and difficult to hear, making it challenging to understand important information or updates.",63889,neutral or dissatisfied,4
1186,18,The flight departure was delayed without clear explanations.,63920,neutral or dissatisfied,4
1187,32,The lavatory waste bins had a foul smell and were not emptied promptly.,64046,neutral or dissatisfied,3
1188,46,"The airline's onboard power outlets were limited or non-functional, preventing passengers from charging their electronic devices.",64083,neutral or dissatisfied,4
1189,-1,"The airline provided no assistance for passengers with language barriers, leading to communication difficulties.",64137,neutral or dissatisfied,4
1190,31,Inadequate assistance for passengers with disabilities.,64154,neutral or dissatisfied,3
1191,18,The flight departure was delayed without clear communication.,64165,neutral or dissatisfied,3
1192,5,I am absolutely livid with this airline's continuous delays! They have wasted my time and patience!,64186,neutral or dissatisfied,4
1193,-1,"I was disappointed by the long queues at the airline's customer service desk. It seemed like there was not enough staff to handle the volume of passengers, resulting in frustratingly long wait times.",64216,neutral or dissatisfied,3
1194,6,Lack of onboard amenities.,64242,neutral or dissatisfied,3
1195,0,I was served a meal with limited options for people with allergies.,64308,neutral or dissatisfied,4
1196,64,I had to spend extra hours at the airport due to the flight delay. Exhausting and frustrating.,64500,neutral or dissatisfied,3
1197,-1,The flight delay caused me to miss a job interview. Unprofessional and disappointing.,64614,neutral or dissatisfied,4
1198,0,The airline did not provide any kosher dessert options.,64827,neutral or dissatisfied,3
1199,10,"The turbulence was severe, causing me to spill my drink and feel nauseous throughout the entire journey.",64870,neutral or dissatisfied,2
1200,32,I encountered unclean or wet bathroom floors.,64908,neutral or dissatisfied,3
1201,21,"I found the gate area to be overcrowded and lacking proper seating arrangements, causing discomfort and inconvenience for passengers.",65019,neutral or dissatisfied,4
1202,-1,The extended wait for flight arrival was highly inconvenient.,65135,neutral or dissatisfied,3
1203,25,"There was a shortage of overhead storage space, and I struggled to find room for my carry-on luggage.",65248,neutral or dissatisfied,3
1204,15,The blankets provided were unclean and appeared used.,65254,neutral or dissatisfied,4
1205,6,"The onboard magazine offered limited reading material, leaving passengers with few options.",65292,neutral or dissatisfied,3
1206,49,The flight delay made me miss out on valuable networking opportunities. Frustrating.,65306,neutral or dissatisfied,4
1207,37,Challenges in obtaining refunds for canceled flights.,65409,neutral or dissatisfied,3
1208,1,"I understand that delays happen, but the lack of transparency from the airline about the reasons behind the departure delay only added to my frustration and disappointment.",65513,neutral or dissatisfied,4
1209,0,The airline did not provide proper assistance for passengers with allergies.,65533,neutral or dissatisfied,3
1210,19,The insensitive and unprofessional behavior of the flight attendants made me feel devalued and upset throughout the entire journey.,65542,neutral or dissatisfied,4
1211,21,"I found the gate area to be poorly maintained and lacking basic amenities, such as clean restrooms or seating areas.",65711,neutral or dissatisfied,4
1212,59,The boarding process was delayed due to the airline's inefficient and slow identity verification procedures.,65991,neutral or dissatisfied,3
1213,5,The never-ending delays from this airline have left me in a state of pure rage!,66168,neutral or dissatisfied,3
1214,22,I felt the airline should have provided better training to the flight crew on handling turbulence and passenger anxiety.,66173,neutral or dissatisfied,4
1215,46,"There were no power outlets available onboard, leaving me unable to charge my electronic devices.",66202,neutral or dissatisfied,4
1216,-1,The flight delay inconvenienced me greatly.,66225,neutral or dissatisfied,3
1217,0,"The airline did not provide any vegetarian meal options, despite prior requests.",66236,neutral or dissatisfied,3
1218,20,I experienced difficulties in reaching the airline's customer service.,66249,neutral or dissatisfied,4
1219,-1,The airline did not accommodate passengers with seat preferences.,66325,neutral or dissatisfied,4
1220,37,"The airline's ticket rescheduling process was convoluted and time-consuming, causing unnecessary stress and inconvenience.",66343,neutral or dissatisfied,3
1221,-1,The flight attendant seemed untrained and unfamiliar with the menu.,66579,neutral or dissatisfied,3
1222,20,I encountered a lack of responsiveness and empathy from the airline staff.,66690,neutral or dissatisfied,3
1223,56,"I encountered challenges in requesting seat upgrades, despite availability and eligibility.",66695,neutral or dissatisfied,4
1224,48,I demand compensation for the arrival delay. I deserve better!,66739,neutral or dissatisfied,3
1225,17,"The baggage handling staff mishandled my fragile souvenirs, leading to their complete destruction.",66769,neutral or dissatisfied,3
1226,52,I noticed unclean or dusty cabin lighting fixtures.,66798,neutral or dissatisfied,4
1227,20,I received poor assistance when trying to resolve an issue with my ticket.,66869,neutral or dissatisfied,3
1228,6,"I was disappointed with the lack of clear instructions during the onboard duty-free shopping, resulting in confusion and delays.",67004,neutral or dissatisfied,3
1229,0,I found the food to be poorly presented and unappealing.,67050,neutral or dissatisfied,4
1230,65,The delay in arrival resulted in additional expenses for alternate transportation. Inconvenient.,67103,neutral or dissatisfied,3
1231,26,The airline did not offer any compensation or reimbursement for the lost or damaged luggage.,67110,neutral or dissatisfied,4
1232,7,"The emotional toll of the experience was immense, and I felt the airline had failed to prioritize passenger happiness.",67132,neutral or dissatisfied,3
1233,13,The airline did not provide any additional amenities or services to alleviate the discomfort caused by the bad weather.,67147,neutral or dissatisfied,3
1234,21,"I experienced long wait times at the boarding gate, causing unnecessary inconvenience.",67656,neutral or dissatisfied,4
1235,62,The airline did not provide adequate assistance for passengers with disabilities.,67688,neutral or dissatisfied,3
1236,36,"The flight attendants didn't assist with rebooking missed connections, leaving passengers stranded.",67743,neutral or dissatisfied,3
1237,13,The overall cost of the journey far exceeded the level of service and comfort provided.,67755,neutral or dissatisfied,4
1238,28,The additional charges for baggage and other services made the overall cost of the trip exorbitant.,67774,neutral or dissatisfied,4
1239,29,"The flight attendants lacked professionalism and courtesy, negatively impacting my overall experience.",67803,neutral or dissatisfied,4
1240,0,"The flight attendants ran out of food options, and I had to settle for a meal I did not prefer.",67860,neutral or dissatisfied,3
1241,30,The customer service representative was uncooperative and did not provide satisfactory assistance.,67938,neutral or dissatisfied,3
1242,13,The expensive ticket did not guarantee a seamless or hassle-free journey.,68127,neutral or dissatisfied,3
1243,36,The flight attendants did not assist with locating lost items.,68242,neutral or dissatisfied,3
1244,9,"The flight departure was delayed, leading to inconvenience and dissatisfaction.",68262,neutral or dissatisfied,3
1245,6,"I was disappointed with the lack of clear instructions during the in-flight meal service, causing confusion and delays.",68301,neutral or dissatisfied,3
1246,7,I was emotionally drained and disenchanted with the overall experience provided by the airline.,68363,neutral or dissatisfied,4
1247,20,The airline's customer service was unhelpful and uncooperative.,68435,neutral or dissatisfied,4
1248,-1,The airline did not prioritize customer satisfaction or loyalty.,68538,neutral or dissatisfied,4
1249,-1,I was on the verge of tears as the flight departure was continuously delayed without clear communication.,68669,neutral or dissatisfied,3
1250,24,Uncomfortable cabin temperature.,68682,neutral or dissatisfied,3
1251,0,The airline did not provide any nut-free meal options.,68711,neutral or dissatisfied,3
1252,35,The flight attendants lacked empathy towards passenger concerns.,68790,neutral or dissatisfied,4
1253,3,"The turbulence was so severe that it caused damage to the cabin, and the airline did not address the issue promptly.",68803,neutral or dissatisfied,4
1254,30,The customer service representative was uncooperative and unfriendly.,68880,neutral or dissatisfied,4
1255,-1,The airline did not provide sufficient assistance during flight disruptions.,68948,neutral or dissatisfied,4
1256,62,The airline did not provide adequate support for passengers with pets.,69004,neutral or dissatisfied,3
1257,12,I experienced delays and inconvenience due to the airline's complicated and slow online check-in process.,69054,neutral or dissatisfied,3
1258,7,I felt betrayed when the airline downgraded my seating without any prior notification or explanation.,69132,neutral or dissatisfied,4
1259,6,"I was frustrated with the lack of clear instructions during the in-flight duty-free shopping, resulting in confusion and delays.",69142,neutral or dissatisfied,3
1260,8,The flight delay threw off my entire day's plans.,69162,neutral or dissatisfied,3
1261,0,The flight attendant forgot to bring me a requested condiment.,69237,neutral or dissatisfied,3
1262,1,The airline's continuous delays have eroded my confidence in their services.,69276,neutral or dissatisfied,4
1263,-1,The cabin windows had visible dirt or smudges.,69444,neutral or dissatisfied,4
1264,17,I received my luggage with items missing or stolen.,69499,neutral or dissatisfied,4
1265,38,I experienced difficulties in canceling or changing my flight.,69561,neutral or dissatisfied,3
1266,18,The flight was consistently delayed without clear justifications.,69649,neutral or dissatisfied,3
1267,0,The flight attendants did not offer any alternative meal options for those with allergies.,69778,neutral or dissatisfied,3
1268,19,Inattentive flight attendants.,69848,neutral or dissatisfied,4
1269,39,The air crew did not demonstrate proper customer service skills and were indifferent to passenger needs.,70115,neutral or dissatisfied,4
1270,-1,I found the cabin to be unclean and poorly maintained.,70164,neutral or dissatisfied,4
1271,13,The airline's pricing structure did not justify the expensive fare for the standard services provided.,70227,neutral or dissatisfied,3
1272,3,"The turbulence was so intense that it caused overhead bins to open, and items fell, posing a danger to passengers.",70243,neutral or dissatisfied,3
1273,-1,The flight had a strong odor that was unpleasant and made the journey unpleasant.,70290,neutral or dissatisfied,4
1274,3,"The turbulence was unexpected and violent, and the lack of empathy and support from the flight attendants was disheartening.",70336,neutral or dissatisfied,4
1275,61,"The overhead reading lights were not functional, making it challenging to read during the flight.",70356,neutral or dissatisfied,4
1276,30,The customer service agent was unable to resolve my issue satisfactorily.,70366,neutral or dissatisfied,3
1277,16,Disorganized baggage claim process resulted in delays and confusion upon arrival.,70372,neutral or dissatisfied,3
1278,28,The airline's baggage policy was unclear and resulted in unexpected fees.,70554,neutral or dissatisfied,4
1279,33,The airline's frequent flyer program had limited benefits.,70578,neutral or dissatisfied,3
1280,0,The airline did not provide any lactose-free dessert options.,70605,neutral or dissatisfied,3
1281,52,I observed unclean or stained bulkhead walls in the cabin.,70617,neutral or dissatisfied,4
1282,6,The airline's onboard magazine was outdated and uninteresting.,70718,neutral or dissatisfied,4
1283,6,"The onboard amenities were lacking, making my journey dull and uncomfortable.",70789,neutral or dissatisfied,1
1284,-1,The airline's inability to stick to the schedule has caused me significant inconvenience.,70925,neutral or dissatisfied,3
1285,45,I expected better coordination during the boarding and deplaning process.,70935,neutral or dissatisfied,3
1286,6,"I was disappointed with the lack of clear instructions during the disembarkation process, causing confusion and delays.",70966,neutral or dissatisfied,4
1287,18,I couldn't understand why the flight departure was consistently delayed without proper explanations.,70996,neutral or dissatisfied,4
1288,4,Insufficient legroom on the flight.,71021,neutral or dissatisfied,3
1289,42,The airline mishandled my oversized baggage and caused inconvenience.,71051,neutral or dissatisfied,3
1290,25,I encountered difficulties in retrieving my oversized or heavy baggage without any assistance.,71093,neutral or dissatisfied,4
1291,18,The flight was consistently delayed without clear reasons.,71207,neutral or dissatisfied,4
1292,-1,"The airline failed to provide adequate updates regarding the arrival delay, leaving me waiting at the destination airport for an extended period of time with no information.",71227,neutral or dissatisfied,3
1293,9,"The flight departure was delayed, leading to inconvenience.",71320,neutral or dissatisfied,3
1294,6,The absence of onboard reading material options made the journey dull and unengaging.,71467,neutral or dissatisfied,3
1295,28,"I faced challenges understanding the airline's complex carry-on baggage policy, resulting in confusion and difficulties in complying with the restrictions.",71480,neutral or dissatisfied,4
1296,64,I had to sit at the airport for hours because of the flight delay. Not a pleasant experience.,71488,neutral or dissatisfied,4
1297,23,"Arrival was delayed, causing inconvenience to all passengers.",71586,neutral or dissatisfied,4
1298,45,"The airline's failure to manage the departure delay efficiently led to a chaotic boarding process, with passengers waiting in long queues without any clear instructions.",71591,neutral or dissatisfied,3
1299,23,The flight delay inconvenienced passengers and affected their overall travel experience.,71711,neutral or dissatisfied,4
1300,13,"Despite the hefty price tag, the flight lacked attention to detail and did not feel luxurious.",71737,neutral or dissatisfied,4
1301,-1,Inadequate assistance during flight disruptions caused frustration and anxiety.,71826,neutral or dissatisfied,3
1302,24,"The ventilation in the cabin was poor, leaving the air stale and uncomfortable to breathe.",71848,neutral or dissatisfied,3
1303,-1,I faced language barriers as the airline did not offer adequate assistance for passengers with language difficulties.,71862,neutral or dissatisfied,4
1304,21,"The wait time at the security checkpoint was ridiculously long. I had to stand in line for hours, and it made me feel anxious and stressed about making it to my gate on time.",71878,neutral or dissatisfied,3
1305,16,"I encountered difficulties understanding the airline's baggage handling procedures, resulting in misplaced or delayed luggage.",71974,neutral or dissatisfied,3
1306,-1,The delay in departure made me feel like my time was not valued.,72119,neutral or dissatisfied,4
1307,6,"The in-flight entertainment system was not working throughout the entire journey, leaving us bored and frustrated.",72127,neutral or dissatisfied,4
1308,-1,The flight lacked proper signage and directions within the aircraft.,72130,neutral or dissatisfied,4
1309,14,The flight attendants did not enforce quiet hours during overnight flights.,72232,neutral or dissatisfied,3
1310,27,"The flight had a malfunctioning audio system for in-flight announcements, making it difficult to stay informed.",72297,neutral or dissatisfied,3
1311,39,The air crew failed to provide clear instructions or guidance to passengers.,72446,neutral or dissatisfied,3
1312,34,The lack of entertainment options for children made the journey challenging and boring for my family.,72484,neutral or dissatisfied,4
1313,34,Insufficient assistance and amenities for families traveling with children made the journey stressful.,72500,neutral or dissatisfied,4
1314,21,"I found the gate area to be crowded and lacking proper queuing systems, causing confusion and delays in boarding.",72537,neutral or dissatisfied,4
1315,56,"I faced challenges understanding the airline's complex seat upgrade policy, resulting in confusion and difficulties in obtaining a better seat.",72544,neutral or dissatisfied,4
1316,59,The boarding process was delayed due to the airline's inefficient and slow boarding pass validation procedures.,72581,neutral or dissatisfied,4
1317,0,"Limited availability of vegetarian meal options, leaving passengers with few or no suitable choices.",72587,neutral or dissatisfied,4
1318,23,The delay in departure caused frustration and dissatisfaction among passengers.,72618,neutral or dissatisfied,3
1319,41,"The flight had a noisy engine that was disruptive throughout the journey, causing discomfort and unease.",72724,neutral or dissatisfied,4
1320,37,I encountered challenges in obtaining refunds for canceled flights due to lengthy processing times and bureaucracy.,72902,neutral or dissatisfied,3
1321,21,The delay in departure left me sitting at the gate with no explanation. Unprofessional.,72931,neutral or dissatisfied,4
1322,14,The flight attendants did not properly handle a passenger's medical emergency.,72954,neutral or dissatisfied,3
1323,65,The delay in departure resulted in wasted time at the airport.,73004,neutral or dissatisfied,4
1324,0,The flight attendant neglected to offer drink refills to passengers.,73030,neutral or dissatisfied,4
1325,11,"I had a family gathering to attend, but the delay in arrival made me miss it.",73168,neutral or dissatisfied,3
1326,18,The flight crew failed to provide any explanation for the delay.,73190,neutral or dissatisfied,3
1327,30,The customer service representative was unresponsive to my inquiries.,73225,neutral or dissatisfied,4
1328,0,The airline did not provide any halal beverage options.,73256,neutral or dissatisfied,4
1329,44,The airline provided no updates or information regarding my delayed baggage.,73375,neutral or dissatisfied,3
1330,34,The airline did not provide adequate assistance to families traveling with young children.,73400,neutral or dissatisfied,4
1331,2,I felt incredibly frustrated and anxious as the flight departure was delayed for over an hour.,73412,neutral or dissatisfied,4
1332,7,I couldn't help but feel a deep sense of dissatisfaction and frustration throughout the entire journey.,73484,neutral or dissatisfied,3
1333,3,"The turbulence was unexpected and violent, and the flight attendants seemed overwhelmed and unable to provide proper assistance or reassurance.",73668,neutral or dissatisfied,2
1334,26,The airline did not provide adequate compensation for inconveniences.,73812,neutral or dissatisfied,3
1335,6,In-flight entertainment options were outdated and insufficient for a long-haul flight.,73944,neutral or dissatisfied,3
1336,17,"I received my bag with broken or damaged wheels, making it difficult to transport.",73949,neutral or dissatisfied,3
1337,24,"The flight lacked proper ventilation, resulting in discomfort.",73951,neutral or dissatisfied,4
1338,-1,"The airline's seating arrangements for families were inadequate, making it hard to stay together during the flight.",74021,neutral or dissatisfied,3
1339,-1,The airline did not have a proper procedure for handling passenger complaints.,74214,neutral or dissatisfied,3
1340,-1,"I had time-sensitive plans, but the delay in departure made it impossible to fulfill them.",74221,neutral or dissatisfied,3
1341,-1,"I encountered difficulties understanding the airline's complex pet travel policy, resulting in confusion and extra expenses.",74250,neutral or dissatisfied,3
1342,21,"The wait times at the boarding gate were excessively long, causing frustration and impatience.",74264,neutral or dissatisfied,3
1343,21,I couldn't believe how long I had to wait at the boarding gate before being allowed to board the aircraft. It was an unnecessary delay that disrupted my travel plans.,74280,neutral or dissatisfied,4
1344,-1,Insufficient information about connecting flights.,74527,neutral or dissatisfied,3
1345,26,The airline did not take responsibility for their mistakes or shortcomings.,74540,neutral or dissatisfied,3
1346,56,"I encountered difficulties in upgrading my seat on the flight, despite availability and eligibility.",74578,neutral or dissatisfied,1
1347,-1,The airline did not provide proper assistance for passengers with language barriers.,74717,neutral or dissatisfied,4
1348,-1,"The airline didn't have adequate customer service representatives at the gate, resulting in poor assistance.",74772,neutral or dissatisfied,3
1349,24,"The baggage claim area lacked proper ventilation, causing discomfort for passengers.",74966,neutral or dissatisfied,3
1350,38,Challenges in canceling or changing flights.,75032,neutral or dissatisfied,3
1351,28,"The airline charged exorbitant fees for additional baggage, which was an unpleasant surprise.",75059,neutral or dissatisfied,3
1352,20,I encountered a lack of assistance from the airline staff when I needed it the most.,75072,neutral or dissatisfied,3
1353,15,I encountered unclean or unsanitary seatback screens.,75118,neutral or dissatisfied,3
1354,3,"The delay in serving meals was excessive, and many passengers went hungry.",75174,neutral or dissatisfied,4
1355,17,I received my bag with crushed or flattened items.,75184,neutral or dissatisfied,3
1356,-1,"The airline's communication was inadequate for passengers with language barriers, leading to difficulties in understanding important information.",75188,neutral or dissatisfied,4
1357,7,I was emotionally devastated by the lack of professionalism and disregard for passenger satisfaction displayed by the airline.,75214,neutral or dissatisfied,4
1358,1,The lack of transparency regarding the reasons behind the delays left me frustrated and confused.,75233,neutral or dissatisfied,3
1359,26,The airline did not offer any reimbursement for the inconvenience caused by mishandled baggage.,75267,neutral or dissatisfied,3
1360,19,The flight attendants were inattentive to passenger needs.,75270,neutral or dissatisfied,3
1361,4,"The seats were worn out and in poor condition, causing discomfort throughout the flight.",75458,neutral or dissatisfied,4
1362,22,I expected better preparation from the airline to handle the adverse weather conditions.,75579,neutral or dissatisfied,3
1363,54,The onboard restrooms ran out of toilet paper.,75725,neutral or dissatisfied,4
1364,55,"I received poor service from the flight attendant, who ignored my request for a blanket.",75741,neutral or dissatisfied,3
1365,-1,"The flight attendants were rude and inattentive, showing no concern for my needs.",75852,neutral or dissatisfied,4
1366,14,The flight attendants did not enforce the use of headphones for audio entertainment.,75879,neutral or dissatisfied,4
1367,37,The airline's refusal to provide a refund or alternative flight option after canceling my reservation left me devastated and financially burdened.,75926,neutral or dissatisfied,4
1368,5,I am enraged by the continual delays! This airline is beyond incompetent and infuriating!,76020,neutral or dissatisfied,4
1369,13,The airline did not provide any alternatives or options when facing issues.,76155,neutral or dissatisfied,3
1370,36,The flight attendants did not assist with stowing oversized carry-on items.,76195,neutral or dissatisfied,3
1371,-1,"Arrival was significantly later than expected, inconveniencing me.",76204,neutral or dissatisfied,3
1372,15,I noticed unclean or smelly seat cushions.,76233,neutral or dissatisfied,4
1373,6,The onboard magazine was outdated and had limited reading material.,76244,neutral or dissatisfied,4
1374,57,I expected better customer service from the airline in handling the delayed flight situation.,76313,neutral or dissatisfied,4
1375,14,The flight attendants did not enforce airline policies consistently.,76315,neutral or dissatisfied,2
1376,1,Delays in receiving flight updates and lack of timely information caused uncertainty and frustration.,76383,neutral or dissatisfied,3
1377,31,I expected better assistance for pregnant passengers.,76427,neutral or dissatisfied,3
1378,12,"The airline's website had technical glitches, causing errors and delays in managing bookings or accessing travel information.",76684,neutral or dissatisfied,3
1379,-1,The airline did not provide sufficient seating for passengers during a layover.,76791,neutral or dissatisfied,4
1380,41,The flight announcement system was too loud and disruptive.,76966,neutral or dissatisfied,3
1381,-1,I noticed a foul odor throughout the aircraft.,77030,neutral or dissatisfied,4
1382,18,The flight crew did not provide clear instructions or explanations about the weather-related delays.,77108,neutral or dissatisfied,4
